City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Namibe,-15.1961,12.1522,60.04,63,0,4.32,AO,2022-06-22 06:09:10
101,Saint George,37.1041,-113.5841,81.19,10,0,4.61,US,2022-06-22 06:09:10
102,Paita,-5.0892,-81.1144,62.91,83,78,11.88,PE,2022-06-22 06:09:11
103,Akyab,20.15,92.9,84.58,70,82,13.58,MM,2022-06-22 06:09:11
104,Veraval,20.9,70.3667,89.62,60,53,7.05,IN,2022-06-22 06:09:11
105,Buala,-8.145,159.5921,83.84,73,19,7.05,SB,2022-06-22 06:09:12
106,Mangla,31.8931,72.3817,84.43,53,25,11.79,PK,2022-06-22 06:09:12
107,Alice Springs,-23.7,133.8833,69.22,32,0,9.22,AU,2022-06-22 06:09:13
108,Vao,-22.6667,167.4833,70.38,61,97,10.02,NC,2022-06-22 06:09:13
109,Soria,41.6667,-2.6667,52.86,95,52,3.58,ES,2022-06-22 06:09:14
110,Morris,40.8334,-74.5329,65.82,89,75,0.0,US,2022-06-22 06:09:14
111,Kollam,8.8833,76.6,82.36,73,100,8.66,IN,2022-06-22 06:08:53
112,Atherton,53.5237,-2.4935,61.9,93,31,3.0,GB,2022-06-22 06:09:15
113,Vostok,46.4856,135.8833,66.81,87,100,2.39,RU,2022-06-22 06:09:15
114,Port Elizabeth,-33.918,25.5701,58.32,95,75,4.61,ZA,2022-06-22 06:09:15
115,Kaoma,-14.7833,24.8,53.71,70,0,8.99,ZM,2022-06-22 06:09:16
116,Yellowknife,62.456,-114.3525,57.54,57,39,5.95,CA,2022-06-22 06:09:16
117,Presidencia Roque Saenz Pena,-26.7852,-60.4388,55.22,81,89,7.87,AR,2022-06-22 06:09:17
118,Derzhavinsk,51.1,66.3167,74.89,39,9,18.77,KZ,2022-06-22 06:09:17
119,Meadow Lake,34.8014,-106.5436,67.3,67,79,8.75,US,2022-06-22 06:09:17
120,Kruisfontein,-34.0033,24.7314,56.59,72,100,4.43,ZA,2022-06-22 06:09:18
121,Newport,51.5877,-2.9984,63.25,74,20,9.48,GB,2022-06-22 06:09:18
122,Constitucion,-35.3333,-72.4167,50.56,81,96,7.25,CL,2022-06-22 06:09:19
123,Biak,-0.9131,122.8766,79.81,81,100,9.55,ID,2022-06-22 06:09:19
124,Charleston,32.7766,-79.9309,78.03,85,0,5.75,US,2022-06-22 06:05:27
125,Chokurdakh,70.6333,147.9167,55.44,58,100,10.04,RU,2022-06-22 06:09:20
126,Mahebourg,-20.4081,57.7,75.25,63,24,9.44,MU,2022-06-22 06:09:20
127,Mendi,-6.1761,143.6513,62.69,91,72,2.89,PG,2022-06-22 06:09:21
128,Pontianak,-0.0333,109.3333,89.58,66,75,3.44,ID,2022-06-22 06:09:21
129,Severo-Kurilsk,50.6789,156.125,49.53,89,61,10.0,RU,2022-06-22 06:09:21
130,Lata,40.1629,-8.3327,60.08,96,93,4.09,PT,2022-06-22 06:09:22
131,Tarn Taran,31.45,74.9253,86.02,42,99,4.68,IN,2022-06-22 06:09:22
132,Ulladulla,-35.35,150.4667,56.77,57,23,2.89,AU,2022-06-22 06:09:23
133,Talcahuano,-36.7167,-73.1167,51.48,82,100,5.75,CL,2022-06-22 06:05:08
134,Mubi,10.2676,13.2644,75.69,75,100,5.35,NG,2022-06-22 06:09:23
135,Huinan,42.6225,126.2614,67.89,97,100,4.88,CN,2022-06-22 06:09:23
136,Port-Gentil,-0.7193,8.7815,69.76,94,75,4.61,GA,2022-06-22 06:09:24
137,Linxia,35.6003,103.2064,66.97,67,100,3.69,CN,2022-06-22 06:09:24
138,Abong Mbang,3.9833,13.1833,65.39,98,97,1.05,CM,2022-06-22 06:10:25
139,Souillac,-20.5167,57.5167,71.08,71,62,8.75,MU,2022-06-22 06:10:25
140,Avarua,-21.2078,-159.775,78.85,89,40,9.22,CK,2022-06-22 06:10:26
141,Phalia,32.4297,73.5775,84.61,52,50,11.88,PK,2022-06-22 06:10:26
142,Fairview,40.8126,-73.999,67.62,86,100,8.01,US,2022-06-22 06:10:26
143,Haines Junction,60.7522,-137.5108,56.46,53,84,4.52,CA,2022-06-22 06:10:27
144,Gornyak,50.9942,81.4661,86.4,35,80,9.71,RU,2022-06-22 06:10:27
145,Kinarut,5.8231,116.0466,89.62,70,20,5.75,MY,2022-06-22 06:10:28
146,Ancud,-41.8697,-73.8203,38.23,78,93,9.04,CL,2022-06-22 06:10:29
147,Billings,45.7833,-108.5007,58.77,68,0,0.0,US,2022-06-22 06:05:36
148,La Ronge,55.1001,-105.2842,53.38,66,13,7.63,CA,2022-06-22 06:10:30
149,Lloydminster,53.2835,-110.0016,55.99,68,67,6.49,CA,2022-06-22 06:06:56
150,Nikolskoye,59.7035,30.7861,62.87,48,6,5.86,RU,2022-06-22 06:10:30
151,Yar-Sale,66.8333,70.8333,78.46,46,75,10.92,RU,2022-06-22 06:10:31
152,Catia La Mar,10.6038,-67.0303,75.4,88,75,0.0,VE,2022-06-22 06:10:31
153,Tabou,4.423,-7.3528,73.83,93,100,1.12,CI,2022-06-22 06:10:31
154,Sisimiut,66.9395,-53.6735,34.86,99,100,6.13,GL,2022-06-22 06:10:32
155,Borshchiv,48.8033,26.0435,56.48,64,72,23.71,UA,2022-06-22 06:10:32
156,Fukue,32.6881,128.8419,76.37,87,6,11.48,JP,2022-06-22 06:10:33
157,Saint-Philippe,-21.3585,55.7679,72.99,62,14,8.75,RE,2022-06-22 06:10:34
158,Leningradskiy,69.3833,178.4167,36.21,66,57,4.9,RU,2022-06-22 06:10:34
159,Meridian,43.6121,-116.3915,67.32,58,0,4.61,US,2022-06-22 06:08:01
160,Nieuw Amsterdam,5.8833,-55.0833,75.02,93,93,4.81,SR,2022-06-22 06:10:34
161,Torbay,47.6666,-52.7314,56.88,91,100,8.84,CA,2022-06-22 06:10:35
162,Puerto Madryn,-42.7692,-65.0385,34.18,72,15,9.01,AR,2022-06-22 06:10:35
163,Seminole,28.7086,-81.2081,76.98,89,20,4.61,US,2022-06-22 06:10:36
164,Ilulissat,69.2167,-51.1,33.82,93,100,3.44,GL,2022-06-22 06:10:36
165,Ahipara,-35.1667,173.1667,50.74,73,99,2.42,NZ,2022-06-22 06:10:37
166,Palmer,42.1584,-72.3287,63.01,84,100,0.0,US,2022-06-22 06:10:37
167,Kamenka,51.3223,42.7678,72.7,66,16,7.2,RU,2022-06-22 06:10:38
168,Avera,33.194,-82.5271,71.11,48,64,5.59,US,2022-06-22 06:10:38
169,East London,-33.0153,27.9116,65.35,78,99,13.82,ZA,2022-06-22 06:10:38
170,Laguna,38.421,-121.4238,87.06,32,0,3.44,US,2022-06-22 06:10:39
171,Murdochville,48.9583,-65.5006,40.57,99,67,6.85,CA,2022-06-22 06:10:40
172,Maragogi,-9.0122,-35.2225,74.34,89,94,9.91,BR,2022-06-22 06:10:40
173,Norden,53.6,7.2,61.95,76,28,5.93,DE,2022-06-22 06:10:40
174,Northam,51.0333,-4.2167,62.65,97,5,5.41,GB,2022-06-22 06:10:41
175,Tiksi,71.6872,128.8694,37.13,81,97,11.83,RU,2022-06-22 06:10:41
176,Chateaudun,48.0833,1.3333,66.94,95,99,7.34,FR,2022-06-22 06:10:41
177,Zlobin,45.2924,14.6541,68.16,84,0,2.3,HR,2022-06-22 06:10:42
178,Stafford,52.8052,-2.1164,59.23,95,47,5.95,GB,2022-06-22 06:10:42
179,Itaituba,-4.2761,-55.9836,71.08,81,68,0.76,BR,2022-06-22 06:10:43
180,Hobart,-42.8794,147.3294,53.06,79,75,6.91,AU,2022-06-22 06:06:18
181,Faridpur,23.6,89.8333,90.3,60,40,7.7,BD,2022-06-22 06:10:43
182,Kapoeta,4.7717,33.5903,82.51,49,54,6.62,SS,2022-06-22 06:10:44
