City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
575,Ndola,ZM,-12.9587,28.6366,51.55,83,0,4.23,clear sky
576,Kavaratti,IN,10.5669,72.642,81.97,79,100,18.57,overcast clouds
577,Hastings,GB,50.8552,0.5729,61.32,85,7,9.37,clear sky
578,Basco,PH,20.4487,121.9702,85.35,75,98,13.98,overcast clouds
579,Omsukchan,RU,62.5333,155.8,50.49,83,100,11.48,overcast clouds
580,Nawa,IN,27.0167,75.0,84.42,56,0,5.84,clear sky
581,Watertown,US,42.3709,-71.1828,63.95,85,40,10.36,scattered clouds
582,Altagracia De Orituco,VE,9.8601,-66.3814,72.64,91,63,2.98,broken clouds
583,Hami,CN,42.8,93.45,90.84,9,43,4.07,scattered clouds
584,Akureyri,IS,65.6835,-18.0878,38.52,85,80,5.68,broken clouds
585,Markova,UA,48.6758,24.4138,52.48,79,100,4.32,overcast clouds
586,Newport,GB,51.5877,-2.9984,64.69,77,0,6.42,clear sky
587,Maragogi,BR,-9.0122,-35.2225,73.53,97,100,7.87,overcast clouds
588,San Juan,AR,-31.5375,-68.5364,42.49,58,90,5.91,overcast clouds
589,Nhulunbuy,AU,-12.2333,136.7667,79.41,73,75,14.97,broken clouds
590,Kyzyl-Suu,KG,42.3414,78.0056,63.55,59,100,4.0,overcast clouds
591,Batagay-Alyta,RU,67.8006,130.4114,53.1,59,99,3.18,overcast clouds
592,Tromso,NO,69.6496,18.957,48.22,71,75,2.3,broken clouds
593,Betanzos,ES,43.2804,-8.2147,61.72,87,100,2.3,overcast clouds
594,Matadi,CD,-5.8167,13.45,67.03,92,4,3.15,clear sky
595,Vorona,RO,47.5967,26.6448,64.11,73,50,7.0,scattered clouds
596,Buguruslan,RU,53.6554,52.442,62.65,92,85,4.38,overcast clouds
597,Loralai,PK,30.3705,68.598,67.24,66,0,2.3,clear sky
598,Tiarei,PF,-17.5333,-149.3333,80.62,71,16,11.03,few clouds
599,Mzimba,MW,-11.9,33.6,52.56,88,3,9.17,clear sky
600,Rocha,UY,-34.4833,-54.3333,47.88,86,100,9.53,moderate rain
601,Yongan,CN,39.6957,113.6871,73.47,45,0,4.92,clear sky
602,Eydhafushi,MV,5.1033,73.0708,82.67,75,100,11.05,overcast clouds
603,Marsa Matruh,EG,31.3525,27.2453,73.89,88,0,13.58,clear sky
604,Severo-Yeniseyskiy,RU,60.3725,93.0408,67.75,43,10,8.63,clear sky
605,Kununurra,AU,-15.7667,128.7333,76.98,31,95,12.66,overcast clouds
606,Sabanagrande,CO,10.7912,-74.7606,82.49,83,20,5.75,few clouds
607,Rehburg-Loccum,DE,52.4667,9.2,61.05,74,20,1.14,few clouds
608,Oparino,RU,59.8518,48.2783,50.56,99,100,4.16,overcast clouds
